user_id,name,type,fails,misses,successes
f7f5eafb0c674a1cbaae37a82379741f,Lori,Standard,8,6,36
82f3d7c52d8d4e9c8e44ad6c180905ea,Kent,Standard,1,13,36
7aa948fb4a1f4a17999574a317d74ee4,Mary,Standard,5,9,36
d1ce999206174464984c5db326b4d677,Frank,Standard,5,10,35
895c8409f26c4bb38363b9bfd30e275a,Scott,Standard,6,10,34
5a60b11ae416443ab87668936d5458a8,James,Novice,10,10,30
79b1b09df8e84ec98986ed0da777de0f,Doreatha,Novice,15,9,26
d7fab2b06f1a40fb90f49090cb3bed81,Francine,Novice,13,14,23
d636b4cdde854c6eb1ba739a52867a00,Jenny,Novice,17,10,23
440f56a8558c4503b38162b5ff9e9492,Kathleen,Novice,17,11,22
35d36493ea234b54a756c3eb1d5f90e4,Elizabeth,Novice,15,13,22
ed88d6526644449bbd5da51872432a25,Manuel,Novice,16,13,21
cca8e937b9af4c0eae87221957d1c9d9,Lucille,Novice,19,10,21
3047f2ff9b5b480dac46858a8d835e36,Ramon,Novice,13,16,21
0908582e40384c8d920f0fc8bdb70203,Lucia,Novice,14,15,21
a6dbdf74949a47389fab1d9ab9502cc8,Charles,Novice,18,12,20
6bbaee55b6694ca28b712a0a16f734cb,Steve,Novice,18,12,20
636a0174a323496cbdc16acd5cb4b2b4,Tony,Novice,20,10,20
fc7a6d76ea9947949a8d7580ffee327c,Lorenzo,Novice,18,13,19
7a9ffb0c13f54074b61a474468f82881,Kay,Novice,19,12,19
f5609e6eed934d928260f472ad49d6aa,Christopher,Novice,18,14,18
b6ba37a3cbcb4802b80244041ba275be,Loma,Novice,20,12,18
a4c64b797bf04394ac0516a5173b425f,Jason,Novice,16,16,18
94eb3526a4614771955bbdd8c3e61f3b,Vera,Novice,15,17,18
7b2bc8ce28ac46eeaf0a560fef88c041,Sandra,Novice,21,11,18
79457ad9423445d5ae2724222d47ddc5,David,Novice,22,10,18
107a181b12e94e88850366114864077a,Martin,Novice,22,10,18
c15a03b16c114a2798dd2af42eef848e,Leslie,Novice,23,10,17
62ae8e89514d401d97416676b4e19cf2,Levi,Novice,24,9,17
54de000857964088bc9388e55bd8c302,Janice,Novice,17,16,17
5852725bc0954e3b9c90760796a4a9ae,Stephen,Novice,23,12,15
f46d67663a44447fafbd16d340ae24d1,Johnnie,Novice,21,15,14
6c6c237364d743b4a1eff9f44e74866b,Albert,Novice,25,12,13
2ce061f6a93c4c7d9a22bb3b792af92a,Marie,Novice,23,14,13
15c00cf8ab534bddb2f06689301b5764,Mike,Novice,22,15,13
